"contact";"month";"day_of_week";"duration";"y"
"telephone";"may";"mon";261;"no"
"telephone";"may";"mon";149;"no"
"telephone";"may";"mon";226;"no"
"telephone";"may";"mon";151;"no"
"telephone";"may";"mon";307;"no"
"telephone";"may";"mon";198;"no"
"telephone";"may";"mon";139;"no"
"telephone";"may";"mon";217;"no"
"telephone";"may";"mon";380;"no"
"telephone";"may";"mon";50;"no"
"telephone";"may";"mon";55;"no"
"telephone";"may";"mon";222;"no"
"telephone";"may";"mon";137;"no"
"telephone";"may";"mon";293;"no"
"telephone";"may";"mon";146;"no"
"telephone";"may";"mon";174;"no"
"telephone";"may";"mon";312;"no"
"telephone";"may";"mon";440;"no"
"telephone";"may";"mon";353;"no"
"telephone";"may";"mon";195;"no"
"telephone";"may";"mon";38;"no"
"telephone";"may";"mon";262;"no"
"telephone";"may";"mon";342;"no"
"telephone";"may";"mon";181;"no"
"telephone";"may";"mon";172;"no"
"telephone";"may";"mon";99;"no"
"telephone";"may";"mon";93;"no"
"telephone";"may";"mon";233;"no"
"telephone";"may";"mon";255;"no"
"telephone";"may";"mon";362;"no"
"telephone";"may";"mon";348;"no"
"telephone";"may";"mon";386;"no"
"telephone";"may";"mon";73;"no"
"telephone";"may";"mon";230;"no"
"telephone";"may";"mon";208;"no"
"telephone";"may";"mon";336;"no"
"telephone";"may";"mon";365;"no"
"telephone";"may";"mon";1666;"no"
"telephone";"may";"mon";577;"no"
"telephone";"may";"mon";137;"no"
"telephone";"may";"mon";366;"no"
"telephone";"may";"mon";314;"no"
"telephone";"may";"mon";160;"no"
"telephone";"may";"mon";212;"no"
"telephone";"may";"mon";188;"no"
"telephone";"may";"mon";22;"no"
"telephone";"may";"mon";616;"no"
"telephone";"may";"mon";178;"no"
"telephone";"may";"mon";355;"no"
"telephone";"may";"mon";225;"no"
"telephone";"may";"mon";160;"no"
"telephone";"may";"mon";266;"no"
"telephone";"may";"mon";253;"no"
"telephone";"may";"mon";179;"no"
"telephone";"may";"mon";269;"no"
"telephone";"may";"mon";135;"no"
"telephone";"may";"mon";161;"no"
"telephone";"may";"mon";787;"no"
"telephone";"may";"mon";145;"no"
"telephone";"may";"mon";174;"no"
"telephone";"may";"mon";449;"no"
"telephone";"may";"mon";812;"no"
"telephone";"may";"mon";164;"no"
"telephone";"may";"mon";366;"no"
"telephone";"may";"mon";357;"no"
"telephone";"may";"mon";232;"no"
"telephone";"may";"mon";91;"no"
"telephone";"may";"mon";273;"no"
"telephone";"may";"mon";158;"no"
"telephone";"may";"mon";177;"no"
"telephone";"may";"mon";200;"no"
"telephone";"may";"mon";172;"no"
"telephone";"may";"mon";176;"no"
"telephone";"may";"mon";211;"no"
"telephone";"may";"mon";214;"no"
"telephone";"may";"mon";1575;"yes"
"telephone";"may";"mon";349;"no"
"telephone";"may";"mon";337;"no"
"telephone";"may";"mon";272;"no"
"telephone";"may";"mon";208;"no"
"telephone";"may";"mon";193;"no"
"telephone";"may";"mon";212;"no"
"telephone";"may";"mon";165;"no"
"telephone";"may";"mon";1042;"yes"
"telephone";"may";"mon";20;"no"
"telephone";"may";"mon";246;"no"
"telephone";"may";"mon";529;"no"
"telephone";"may";"mon";192;"no"
"telephone";"may";"mon";1467;"yes"
"telephone";"may";"mon";188;"no"
"telephone";"may";"mon";180;"no"
"telephone";"may";"mon";48;"no"
"telephone";"may";"mon";213;"no"
"telephone";"may";"mon";545;"no"
"telephone";"may";"mon";583;"no"
"telephone";"may";"mon";221;"no"
"telephone";"may";"mon";426;"no"
"telephone";"may";"mon";287;"no"
"telephone";"may";"mon";197;"no"
"telephone";"may";"mon";257;"no"
"telephone";"may";"mon";229;"no"
"telephone";"may";"mon";55;"no"
"telephone";"may";"mon";400;"no"
"telephone";"may";"mon";197;"no"
"telephone";"may";"mon";190;"no"
"telephone";"may";"mon";21;"no"
"telephone";"may";"mon";300;"no"
"telephone";"may";"mon";123;"no"
"telephone";"may";"mon";293;"no"
"telephone";"may";"mon";325;"no"
"telephone";"may";"mon";514;"no"
"telephone";"may";"mon";849;"no"
"telephone";"may";"mon";194;"no"
"telephone";"may";"mon";212;"no"
"telephone";"may";"mon";337;"no"
"telephone";"may";"mon";286;"no"
"telephone";"may";"mon";247;"no"
"telephone";"may";"mon";518;"no"
"telephone";"may";"mon";364;"no"
"telephone";"may";"mon";178;"no"
"telephone";"may";"mon";98;"no"
"telephone";"may";"mon";439;"no"
"telephone";"may";"mon";139;"no"
"telephone";"may";"mon";79;"no"
"telephone";"may";"mon";175;"no"
"telephone";"may";"mon";262;"no"
"telephone";"may";"mon";61;"no"
"telephone";"may";"mon";78;"no"
"telephone";"may";"mon";102;"no"
"telephone";"may";"mon";579;"yes"
"telephone";"may";"mon";143;"no"
"telephone";"may";"mon";677;"no"
"telephone";"may";"mon";267;"no"
"telephone";"may";"mon";345;"no"
"telephone";"may";"mon";185;"no"
"telephone";"may";"mon";207;"no"
"telephone";"may";"mon";69;"no"
"telephone";"may";"mon";100;"no"
"telephone";"may";"mon";125;"no"
"telephone";"may";"mon";461;"yes"
"telephone";"may";"mon";240;"no"
"telephone";"may";"mon";70;"no"
"telephone";"may";"mon";193;"no"
"telephone";"may";"mon";136;"no"
"telephone";"may";"mon";73;"no"
"telephone";"may";"mon";528;"no"
"telephone";"may";"mon";541;"no"
"telephone";"may";"mon";338;"no"
"telephone";"may";"mon";163;"no"
"telephone";"may";"mon";87;"no"
"telephone";"may";"mon";301;"no"
"telephone";"may";"mon";46;"no"
"telephone";"may";"mon";52;"no"
"telephone";"may";"mon";204;"no"
"telephone";"may";"mon";155;"no"
"telephone";"may";"mon";98;"no"
"telephone";"may";"mon";71;"no"
"telephone";"may";"mon";243;"no"
"telephone";"may";"mon";186;"no"
"telephone";"may";"mon";579;"no"
"telephone";"may";"mon";165;"no"
"telephone";"may";"mon";163;"no"
"telephone";"may";"mon";46;"no"
"telephone";"may";"mon";559;"no"
"telephone";"may";"mon";2033;"no"
"telephone";"may";"mon";85;"no"
"telephone";"may";"mon";506;"no"
"telephone";"may";"mon";114;"no"
"telephone";"may";"mon";114;"no"
"telephone";"may";"mon";843;"no"
"telephone";"may";"mon";181;"no"
"telephone";"may";"mon";427;"no"
"telephone";"may";"mon";292;"no"
"telephone";"may";"mon";192;"no"
"telephone";"may";"mon";93;"no"
"telephone";"may";"mon";128;"no"
"telephone";"may";"mon";107;"no"
"telephone";"may";"mon";303;"no"
