"TIN_contact_cellular";"TIN_month_apr";"TIN_month_aug";"TIN_month_jul";"TIN_month_jun";"TIN_month_mar";"TIN_month_may";"TIN_month_nov";"TIN_month_oct";"TIN_month_sep";"TIN_day_of_week_mon";"TIN_day_of_week_thu";"TIN_day_of_week_tue";"TIN_day_of_week_wed";"R01_duration";"y"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0530703538023587;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.030296868645791;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0459536396909313;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0307035380235868;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0624237494916633;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0402602684017893;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0282635217568117;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0441236274908499;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0772671817812119;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0101667344448963;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0111834078893859;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0451403009353396;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0278568523790159;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0595770638470923;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0296868645790972;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0353802358682391;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0634404229361529;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0894672631150874;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0717771451809679;"no"
0;0;0;0;0;0;1;0;0;0;1;0;0;0;0.0396502643350956;"no"
